ChainId,ChainName,Date,Time,LocationCount,UsLocationCount
566,Bentley's Pet Stuff,2017-07-26,23:04:53.819,81,71
566,Bentley's Pet Stuff,2018-01-26,05:52:57.315098,83,80
566,Bentley's Pet Stuff,2018-04-26,09:01:44.982863,83,80
566,Bentley's Pet Stuff,2018-07-24,09:00:22.180846,83,80
566,Bentley's Pet Stuff,2018-10-22,16:06:40.332209,83,80
566,Bentley's Pet Stuff,2019-01-18,23:12:16.66233,83,83
566,Bentley's Pet Stuff,2019-04-20,01:21:43.756715,83,83
566,Bentley's Pet Stuff,2019-07-16,16:47:31.88482,61,61
566,Bentley's Pet Stuff,2019-10-08,09:02:57.499831,53,53
566,Bentley's Pet Stuff,2019-11-04,09:05:54.597172,53,53
566,Bentley's Pet Stuff,2019-12-09,09:02:53.521183,55,55
566,Bentley's Pet Stuff,2020-01-03,09:12:07.754513,53,53
566,Bentley's Pet Stuff,2020-01-26,21:56:07.012227,62,62
566,Bentley's Pet Stuff,2020-02-25,09:06:58.004893,62,62
566,Bentley's Pet Stuff,2020-05-19,09:00:34.557152,62,62
566,Bentley's Pet Stuff,2020-06-24,14:05:46.441119,62,62
566,Bentley's Pet Stuff,2020-07-30,03:22:59.05569,55,55
566,Bentley's Pet Stuff,2020-09-02,22:37:12.550767,56,55
566,Bentley's Pet Stuff,2020-10-25,03:40:14.404431,57,57
566,Bentley's Pet Stuff,2020-11-21,09:00:54.140109,57,57
566,Bentley's Pet Stuff,2020-12-12,12:34:49.357711,57,57
566,Bentley's Pet Stuff,2021-01-15,09:03:32.671226,57,57
566,Bentley's Pet Stuff,2021-02-19,11:43:44.624178,58,58
566,Bentley's Pet Stuff,2021-03-20,10:18:09.57147,60,60
566,Bentley's Pet Stuff,2021-04-14,09:04:34.720234,60,60
566,Bentley's Pet Stuff,2021-05-10,09:59:22.750861,59,59
566,Bentley's Pet Stuff,2021-06-28,15:08:12.598531,66,66
566,Bentley's Pet Stuff,2021-07-26,09:30:25.209859,66,66
566,Bentley's Pet Stuff,2021-08-23,09:03:17.240246,65,65
566,Bentley's Pet Stuff,2021-09-21,09:02:17.775709,65,65
566,Bentley's Pet Stuff,2021-10-29,14:25:06.287803,66,66
566,Bentley's Pet Stuff,2021-11-25,09:32:45.551829,66,66
566,Bentley's Pet Stuff,2021-12-21,20:23:57.742094,63,63
566,Bentley's Pet Stuff,2022-01-14,19:49:45.280387,66,66
566,Bentley's Pet Stuff,2022-02-09,09:00:51.780262,64,64
566,Bentley's Pet Stuff,2022-08-12,18:44:54.674212,40,40
566,Bentley's Pet Stuff,2022-09-06,09:06:35.902766,40,40
566,Bentley's Pet Stuff,2022-10-03,21:04:50.244152,40,40
566,Bentley's Pet Stuff,2022-10-31,18:12:03.627133,40,40
566,Bentley's Pet Stuff,2022-11-24,18:12:43.877547,39,39
566,Bentley's Pet Stuff,2022-12-19,09:01:01.259263,37,37
566,Bentley's Pet Stuff,2023-01-16,09:17:34.949819,37,37
566,Bentley's Pet Stuff,2023-02-14,09:05:23.390801,37,37
566,Bentley's Pet Stuff,2023-03-20,09:14:28.472888,37,37
566,Bentley's Pet Stuff,2023-04-22,09:22:35.63123,36,36
566,Bentley's Pet Stuff,2023-05-24,16:44:10.984065,48,48
566,Bentley's Pet Stuff,2023-06-23,21:29:30.152795,48,48
566,Bentley's Pet Stuff,2023-07-24,09:07:06.627209,48,48
566,Bentley's Pet Stuff,2023-08-23,09:05:40.069238,47,47
566,Bentley's Pet Stuff,2023-09-19,09:02:10.763448,43,43
566,Bentley's Pet Stuff,2023-10-14,09:00:45.858221,37,37
566,Bentley's Pet Stuff,2023-11-06,16:50:30.173786,37,37
566,Bentley's Pet Stuff,2023-12-01,10:02:29.876323,37,37
566,Bentley's Pet Stuff,2023-12-25,09:24:22.677748,30,30
566,Bentley's Pet Stuff,2024-01-18,09:20:25.38464,30,30
566,Bentley's Pet Stuff,2024-02-14,09:04:43.682567,30,30
566,Bentley's Pet Stuff,2024-05-14,09:05:15.731563,30,30
566,Bentley's Pet Stuff,2024-08-06,09:01:58.388608,30,30
566,Bentley's Pet Stuff,2024-10-29,09:02:07.730887,30,30
566,Bentley's Pet Stuff,2025-03-24,23:09:07.32947,29,29
685,Bosley's By Pet Valu,2017-05-05,05:06:45.049,58,0
685,Bosley's By Pet Valu,2018-01-15,05:07:24.873667,63,0
685,Bosley's By Pet Valu,2018-04-15,15:44:08.338826,68,0
685,Bosley's By Pet Valu,2018-07-13,09:00:15.436343,69,0
685,Bosley's By Pet Valu,2018-10-09,09:00:23.549282,69,0
685,Bosley's By Pet Valu,2019-01-08,09:00:23.378451,69,0
685,Bosley's By Pet Valu,2019-04-04,17:52:39.071299,70,0
685,Bosley's By Pet Valu,2019-06-28,09:00:30.619993,71,0
685,Bosley's By Pet Valu,2019-09-19,19:57:31.942137,71,0
685,Bosley's By Pet Valu,2020-01-02,23:02:21.159128,70,0
685,Bosley's By Pet Valu,2020-07-02,09:03:36.538409,71,0
685,Bosley's By Pet Valu,2020-10-03,09:06:16.744273,71,0
1007,Centinela Feed & Pet Supplies,2017-09-28,19:05:57,15,15
1007,Centinela Feed & Pet Supplies,2018-02-07,16:27:27.002092,16,16
1007,Centinela Feed & Pet Supplies,2018-06-19,22:51:06.730422,16,16
1007,Centinela Feed & Pet Supplies,2018-09-20,21:28:13.562133,16,16
1007,Centinela Feed & Pet Supplies,2019-01-10,19:28:02.004395,18,18
1007,Centinela Feed & Pet Supplies,2019-04-18,16:39:51.002072,18,18
1007,Centinela Feed & Pet Supplies,2019-08-16,22:05:31.328147,18,18
1007,Centinela Feed & Pet Supplies,2019-11-18,23:03:07.054889,18,18
1007,Centinela Feed & Pet Supplies,2020-02-10,09:01:07.196184,18,18
1007,Centinela Feed & Pet Supplies,2020-06-08,09:03:27.275726,18,18
1007,Centinela Feed & Pet Supplies,2020-09-09,00:51:29.514751,18,18
1007,Centinela Feed & Pet Supplies,2020-11-30,09:10:28.821008,18,18
1007,Centinela Feed & Pet Supplies,2021-03-02,09:21:44.361432,18,18
1007,Centinela Feed & Pet Supplies,2021-05-27,09:06:27.039954,18,18
1007,Centinela Feed & Pet Supplies,2021-08-23,09:01:19.399883,18,18
1007,Centinela Feed & Pet Supplies,2021-11-22,09:01:06.551696,18,18
1007,Centinela Feed & Pet Supplies,2022-02-15,09:01:39.420732,19,19
1007,Centinela Feed & Pet Supplies,2022-05-14,09:50:03.368674,19,19
1007,Centinela Feed & Pet Supplies,2022-08-05,14:01:40.187435,19,19
1007,Centinela Feed & Pet Supplies,2022-10-31,18:50:43.178179,19,19
1007,Centinela Feed & Pet Supplies,2023-01-26,09:02:12.622688,19,19
1007,Centinela Feed & Pet Supplies,2023-02-25,09:10:14.478006,19,19
1007,Centinela Feed & Pet Supplies,2023-03-29,09:23:50.82803,19,19
1007,Centinela Feed & Pet Supplies,2023-05-04,09:06:57.600148,19,19
1007,Centinela Feed & Pet Supplies,2023-05-31,16:29:55.766954,19,19
1007,Centinela Feed & Pet Supplies,2023-06-28,10:43:55.093666,19,19
1007,Centinela Feed & Pet Supplies,2023-08-02,09:06:39.461727,19,19
1007,Centinela Feed & Pet Supplies,2023-08-29,09:01:14.862517,19,19
1007,Centinela Feed & Pet Supplies,2023-09-25,16:02:08.550637,19,19
1007,Centinela Feed & Pet Supplies,2023-10-19,09:54:14.330629,19,19
1007,Centinela Feed & Pet Supplies,2023-11-12,03:50:50.386233,19,19
1007,Centinela Feed & Pet Supplies,2023-12-06,18:50:20.68011,19,19
1007,Centinela Feed & Pet Supplies,2024-01-02,09:03:25.938638,19,19
1007,Centinela Feed & Pet Supplies,2024-01-26,09:09:11.070252,19,19
1007,Centinela Feed & Pet Supplies,2024-02-22,09:09:02.30938,20,20
1007,Centinela Feed & Pet Supplies,2024-05-23,09:04:34.094335,20,20
1007,Centinela Feed & Pet Supplies,2024-12-06,22:31:07.713633,21,21
1077,Choice Pet Supply,2017-06-06,21:07:37.181,17,17
1077,Choice Pet Supply,2018-03-29,17:26:48.709847,17,17
1077,Choice Pet Supply,2018-06-25,22:08:53.659997,17,17
1077,Choice Pet Supply,2018-09-24,21:03:14.133899,17,17
1077,Choice Pet Supply,2018-12-19,09:00:38.63775,15,15
1077,Choice Pet Supply,2019-03-18,09:30:43.66302,15,15
1077,Choice Pet Supply,2019-06-10,09:01:25.66107,14,14
1077,Choice Pet Supply,2019-09-06,19:26:27.855684,13,13
1077,Choice Pet Supply,2019-12-11,09:45:43.099401,13,13
1077,Choice Pet Supply,2020-03-11,09:02:53.819427,13,13
1077,Choice Pet Supply,2020-08-05,18:43:02.77715,13,13
1077,Choice Pet Supply,2020-11-10,09:02:09.230099,13,13
1077,Choice Pet Supply,2021-02-16,22:41:30.447674,16,15
